connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,video_description,video_url,channel_id,channel_name,published_at,view_count,like_count,favorite_count,comment_count,thumbnail_url,clean_video_title,title_word_count,title_char_count,clean_video_description,description_word_count,description_char_count,sentiment_score,sentiment_label,video_age_days,video_age_hours,view_count_numeric,like_count_numeric,favorite_count_numeric,comment_count_numeric,hashtags,hashtag_count,brand_mentions,brand_count,content_type,total_engagement,engagement_rate,viral_score,quality_score,performance_bucket
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,o0SQB9QUNaY,কেমিক্যাল রং ছাড়া মাত্র 1টাকা খরচ করে পেপসি বানিয়ে নিন বাচ্চা থেকে বড়ো সবার পছন্দ| icecream recipe,কেমিক্যাল রং ছাড়া মাত্র 1 টাকা খরচ করে পেপসি বানিয়ে নিন বাচ্চা ...,https://www.youtube.com/watch?v=o0SQB9QUNaY,UCcDBtfw4nnSvAUo3XCQq9WQ,Kakalir Rannaghar with village food,2025-03-25T08:48:08Z,1113016,5540,0,217,https://i.ytimg.com/vi/o0SQB9QUNaY/hqdefault.jpg,কেমিক্যাল রং ছাড়া মাত্র 1টাকা খরচ করে পেপসি বানিয়ে নিন বাচ্চা থেকে বড়ো সবার পছন্দ| icecream recipe,17,100,কেমিক্যাল রং ছাড়া মাত্র 1 টাকা খরচ করে পেপসি বানিয়ে নিন বাচ্চা ...,13,68,0.0,Neutral,437,10489.25,1113016,5540,0,217,,0,,0,Video,5757,0.5172,75,25,High
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,hUfGToUAp4M,Sapna Ki Pepsi Ke Sath Ragni I Laya Barat Laya I Sapna Chaudhary Pepsi Sharma I  Sonotek Ragni 2018,Sonotek Cassettes Present “ Song Name ” a Latest New Haryanvi Song 2017. We present to you “Sonotek Ragni ” Song by ...,https://www.youtube.com/watch?v=hUfGToUAp4M,UCNsVA5oSpUrjOvLRBOAG4ZQ,Sonotek Ragni,2018-02-08T11:30:01Z,21315338,68460,0,916,https://i.ytimg.com/vi/hUfGToUAp4M/hqdefault.jpg,Sapna Ki Pepsi Ke Sath Ragni I Laya Barat Laya I Sapna Chaudhary Pepsi Sharma I Sonotek Ragni 2018,19,98,Sonotek Cassettes Present “ Song Name ” a Latest New Haryanvi Song 2017. We present to you “Sonotek Ragni ” Song by ...,23,119,0.0,Neutral,3038,72934.55,21315338,68460,0,916,,0,pepsi,1,Video,69376,0.3255,85,65,Viral
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,7rB8P3NgKh4,Everything’s better with Pepsi :),Everything's better with Pepsi :),https://www.youtube.com/watch?v=7rB8P3NgKh4,UCH47Lk8Qv2Vdr7yu7JHyvug,Pepsi,2023-06-28T18:39:29Z,1919787,21625,0,5654,https://i.ytimg.com/vi/7rB8P3NgKh4/hqdefault.jpg,Everything’s better with Pepsi :),5,33,Everything's better with Pepsi :),5,33,0.5,Positive,1072,25743.39,1919787,21625,0,5654,,0,pepsi,1,Video,27279,1.4209,100,30,Viral
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,QrP1uw5s1Ho,Awesome Coca Cola Trick but with Pepsi,shorts #cocacola #pepsi.,https://www.youtube.com/watch?v=QrP1uw5s1Ho,UCzXipoEpmE2VVOWtuTGc_Hw,McBang ASMR,2024-03-11T12:34:54Z,5008145,152807,0,1613,https://i.ytimg.com/vi/QrP1uw5s1Ho/hqdefault.jpg,Awesome Coca Cola Trick but with Pepsi,7,38,shorts #cocacola #pepsi.,3,24,1.0,Positive,815,19581.47,5008145,152807,0,1613,"pepsi,cocacola",2,"coca cola,pepsi",2,Video,154420,3.0834,100,75,Viral
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,Hki6RqI-eMA,Addison Rae - Diet Pepsi (Official Video),Addison Rae will return in Aquamarine… Official Video for “Diet Pepsi” by Addison Rae Listen to & Download “Diet Pepsi” out ...,https://www.youtube.com/watch?v=Hki6RqI-eMA,UC3Cs0kPcr0GQPCVzX32NQPg,AddisonRaeVEVO,2024-08-09T04:00:07Z,50993344,511891,0,15859,https://i.ytimg.com/vi/Hki6RqI-eMA/hqdefault.jpg,Addison Rae - Diet Pepsi (Official Video),7,41,Addison Rae will return in Aquamarine… Official Video for “Diet Pepsi” by Addison Rae Listen to & Download “Diet Pepsi” out ...,22,127,0.0,Neutral,665,15966.05,50993344,511891,0,15859,,0,pepsi,1,Video,527750,1.0349,100,80,Viral
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,RXvl4Kenq7E,Green Milk Pepsi Making in #surat #youtubeshortsindia #ytshortsindia #indianstreetfood #suratfood,,https://www.youtube.com/watch?v=RXvl4Kenq7E,UC-Nn4C_xqAMxc2Vbe60wRxw,Bhukkadnumber1,2025-04-15T04:33:28Z,28697029,361594,0,2016,https://i.ytimg.com/vi/RXvl4Kenq7E/hqdefault.jpg,Green Milk Pepsi Making in #surat #youtubeshortsindia #ytshortsindia #indianstreetfood #suratfood,10,97,,0,0,-0.2,Negative,416,9989.49,28697029,361594,0,2016,"ytshortsindia,indianstreetfood,suratfood,surat,youtubeshortsindia",5,pepsi,1,Short,363610,1.2671,100,75,Viral
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,nZIxmXEaxZI,Pepsi Ka New Look | 400ML For 20 Rupees #shorts #ytshorts #youtubeshorts #pepsi #trending #yt #1m,,https://www.youtube.com/watch?v=nZIxmXEaxZI,UCqnNWu7pSHe_fE-OqaqsnvQ,Remixing Life,2024-12-23T12:57:51Z,333502,1898,0,26,https://i.ytimg.com/vi/nZIxmXEaxZI/hqdefault.jpg,Pepsi Ka New Look | 400ML For 20 Rupees #shorts #ytshorts #youtubeshorts #pepsi #trending #yt #1m,16,97,,0,0,0.1364,Positive,528,12693.08,333502,1898,0,26,"yt,pepsi,youtubeshorts,shorts,ytshorts,trending,1m",7,pepsi,1,Short,1924,0.5769,45,60,Medium
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,9KdeSCCb1Ps,Zero sugar pepsi യിൽ 🤔 sugar ഉണ്ടോ...?  #trending #viral #malayalam #shorts,Subscribe for more videos #shorts #trendingshorts #viralshorts #malayalam #short #shortsfeed Zero sugar pepsi vs Normal ...,https://www.youtube.com/watch?v=9KdeSCCb1Ps,UCUFTjn9xuabmDbgzd7cYNMA,JITHIN BRO,2024-03-21T11:30:06Z,58688,0,0,18,https://i.ytimg.com/vi/9KdeSCCb1Ps/hqdefault.jpg,Zero sugar pepsi യിൽ 🤔 sugar ഉണ്ടോ...? #trending #viral #malayalam #shorts,11,74,Subscribe for more videos #shorts #trendingshorts #viralshorts #malayalam #short #shortsfeed Zero sugar pepsi vs Normal ...,16,123,0.0,Neutral,805,19342.55,58688,0,0,18,"viralshorts,short,shorts,shortsfeed,malayalam,trending,viral,trendingshorts",10,pepsi,1,Short,18,0.0307,15,60,Low
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,BKnLPCOipOI,"Popular Coke &amp; Pepsi Sodas Vs Mentos (Coke, Sprite, Fanta) #satisfying #experiment #asmr","Popular Coke & Pepsi Sodas Vs Mentos (Coke, Sprite, Fanta) #satisfying #experiment #asmr #shorts #oddlysatisfying ...",https://www.youtube.com/watch?v=BKnLPCOipOI,UC4CP-3F1KsETfDAUz6v7zZA,PowerJoy,2025-07-17T14:00:27Z,21757688,79135,0,49,https://i.ytimg.com/vi/BKnLPCOipOI/hqdefault.jpg,"Popular Coke &amp; Pepsi Sodas Vs Mentos (Coke, Sprite, Fanta) #satisfying #experiment #asmr",13,92,"Popular Coke & Pepsi Sodas Vs Mentos (Coke, Sprite, Fanta) #satisfying #experiment #asmr #shorts #oddlysatisfying ...",16,117,0.55,Positive,322,7748.04,21757688,79135,0,49,"satisfying,shorts,asmr,experiment,oddlysatisfying",8,"coke,pepsi,sprite,fanta",4,Video,79184,0.3639,70,60,High
6,Pepsi,youtube,Pepsi,2026-06-02 13:19:06.809358,po0jY4WvCIc,Michael Jackson Pepsi Generation,"Michael Jackson teams up with director Bob Giraldi in a Pepsi commerical for the ""new generation"".",https://www.youtube.com/watch?v=po0jY4WvCIc,UCJFlb1_V3m_5lelZGiSEyCw,Giraldi Media,2009-06-26T18:03:25Z,136116849,1085860,0,76624,https://i.ytimg.com/vi/po0jY4WvCIc/hqdefault.jpg,Michael Jackson Pepsi Generation,4,32,"Michael Jackson teams up with director Bob Giraldi in a Pepsi commerical for the ""new generation"".",16,98,0.0,Neutral,6187,148503.99,136116849,1085860,0,76624,,0,pepsi,1,Video,1162484,0.854,100,15,Viral
