connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,video_description,video_url,channel_id,channel_name,published_at,view_count,like_count,favorite_count,comment_count,thumbnail_url,clean_video_title,title_word_count,title_char_count,clean_video_description,description_word_count,description_char_count,sentiment_score,sentiment_label,video_age_days,video_age_hours,view_count_numeric,like_count_numeric,favorite_count_numeric,comment_count_numeric,hashtags,hashtag_count,brand_mentions,brand_count,content_type,total_engagement,engagement_rate,viral_score,quality_score,performance_bucket
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,mp5nanjOul8,"Coca Cola 2 - Tony Kakkar, Neha Kakkar, Junior | Official Video",A Tony Kakkar Production presents COCA COLA 2 ft. Neha Kakkar & Junior Stream here: ...,https://www.youtube.com/watch?v=mp5nanjOul8,UC-ot0zOmCSxXj2Y59oI1k5g,Tony Kakkar,2025-10-10T05:56:23Z,172871593,725375,0,19904,https://i.ytimg.com/vi/mp5nanjOul8/hqdefault.jpg,"Coca Cola 2 - Tony Kakkar, Neha Kakkar, Junior | Official Video",12,63,A Tony Kakkar Production presents COCA COLA 2 ft. Neha Kakkar & Junior Stream here: ...,16,87,0.0,Neutral,238,5716.11,172871593,725375,0,19904,,0,coca cola,1,Video,745279,0.4311,100,40,Viral
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,Yg232sNs8dk,"Experiment: Giant Rainbow Excavator Crane hole Eruption from Balloons of Orbeez, Coca Cola vs Mentos","Experiment: Giant Rainbow Excavator Crane hole Eruption from Balloons of Orbeez, Coca Cola vs Mentos ...",https://www.youtube.com/watch?v=Yg232sNs8dk,UC8uibK_HPKNWLYyUyUEK5cg,King Of Crafts,2026-05-30T09:00:04Z,599159,4292,0,96,https://i.ytimg.com/vi/Yg232sNs8dk/hqdefault.jpg,"Experiment: Giant Rainbow Excavator Crane hole Eruption from Balloons of Orbeez, Coca Cola vs Mentos",15,100,"Experiment: Giant Rainbow Excavator Crane hole Eruption from Balloons of Orbeez, Coca Cola vs Mentos ...",16,104,0.0,Neutral,6,145.05,599159,4292,0,96,,0,coca cola,1,Video,4388,0.7324,45,40,Medium
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,ffaqVXuWO9o,"#Video | ले ले आई कोका कोला | #Khesari Lal Yadav, #Shilpi Raj | Le Le Aayi Coca Cola | Chaita Geet",रील बनाये Reel Link :- http://surl.li/brvsv ▻ Album :- ले ले आई कोका कोला ▻ Song :- ले ले आई कोका ...,https://www.youtube.com/watch?v=ffaqVXuWO9o,UCEhWiAKLbWydvPy2ft7K6Uw,Gannayak Films,2022-04-06T00:45:00Z,499511011,2683209,0,119458,https://i.ytimg.com/vi/ffaqVXuWO9o/hqdefault.jpg,"#Video | ले ले आई कोका कोला | #Khesari Lal Yadav, #Shilpi Raj | Le Le Aayi Coca Cola | Chaita Geet",22,98,रील बनाये Reel Link :- http://surl.li/brvsv ▻ Album :- ले ले आई कोका कोला ▻ Song :- ले ले आई कोका ...,22,101,0.0,Neutral,1521,36513.3,499511011,2683209,0,119458,"Video,Shilpi,Khesari",3,coca cola,1,Video,2802667,0.5611,100,85,Viral
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,hHsveDqJSic,&quot;What Happens When a Baby Drinks Coke? 😱 | Shocking Anatomy Visual!&quot;#BabyDrinksCoke #CocaCola#Shorts,BabyDrinksCoke #CocaCola #Anatomy #HealthAwareness #ViralVideo #TikTokTrend #WhatIf #BodyInsideOut #SodaEffects ...,https://www.youtube.com/watch?v=hHsveDqJSic,UCPH6nC5f4VO79d7lflyGTGg,ISLAM NABI,2025-07-21T07:24:47Z,5348843,21545,0,158,https://i.ytimg.com/vi/hHsveDqJSic/hqdefault.jpg,&quot;What Happens When a Baby Drinks Coke? 😱 | Shocking Anatomy Visual!&quot;#BabyDrinksCoke #CocaCola#Shorts,13,110,BabyDrinksCoke #CocaCola #Anatomy #HealthAwareness #ViralVideo #TikTokTrend #WhatIf #BodyInsideOut #SodaEffects ...,10,115,-1.0,Negative,319,7658.63,5348843,21545,0,158,"Shorts,CocaCola,Anatomy,TikTokTrend,BabyDrinksCoke,ViralVideo,BodyInsideOut,SodaEffects,WhatIf,HealthAwareness",11,coke,1,Short,21703,0.4058,85,60,Viral
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,Qyy8h6DIYC0,Chocolate Coca Cola,chocolate coke #shorts #cocacola #chocolate #coke #dessert.,https://www.youtube.com/watch?v=Qyy8h6DIYC0,UCA6OsbmA1qlSAZkGSe52cyw,Street Travel Kitchen,2024-07-29T10:43:41Z,24472304,370589,0,237,https://i.ytimg.com/vi/Qyy8h6DIYC0/hqdefault.jpg,Chocolate Coca Cola,3,19,chocolate coke #shorts #cocacola #chocolate #coke #dessert.,7,59,0.0,Neutral,675,16223.32,24472304,370589,0,237,"chocolate,cocacola,shorts,coke,dessert",5,"coca cola,coke",2,Video,370826,1.5153,85,50,Viral
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,x6CeWrDyB1k,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups Hello Everyone welcome back to my channel I hope you will ...,https://www.youtube.com/watch?v=x6CeWrDyB1k,UCjiUzhxg0iGckfgpEXQqBYA,Milk Shorts 24,2024-10-20T03:02:57Z,9869537,0,0,33,https://i.ytimg.com/vi/x6CeWrDyB1k/hqdefault.jpg,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups,9,64,Coca cola and chupa chups lollipop #shorts #cocacola #chupachups Hello Everyone welcome back to my channel I hope you will ...,21,126,0.0,Neutral,593,14239.0,9869537,0,0,33,"shorts,chupachups,cocacola",6,coca cola,1,Short,33,0.0003,40,85,Medium
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,K9fbeSshURY,Monster drinks the Coca Cola 🤣 #shorts,,https://www.youtube.com/watch?v=K9fbeSshURY,UCVtD5iA4rUuOK5cQrB_o4ow,Yoeslan,2025-05-25T10:54:00Z,9899194,45909,0,97,https://i.ytimg.com/vi/K9fbeSshURY/hqdefault.jpg,Monster drinks the Coca Cola 🤣 #shorts,7,38,,0,0,0.0,Neutral,375,9023.15,9899194,45909,0,97,shorts,1,coca cola,1,Short,46006,0.4647,70,60,High
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,Bn140W6ZRaw,Piyegi Coca Cola? 🥤😍🔥 #CocaCola2 #Tonykakkar,,https://www.youtube.com/watch?v=Bn140W6ZRaw,UC-ot0zOmCSxXj2Y59oI1k5g,Tony Kakkar,2025-10-24T09:30:11Z,7163438,48537,0,166,https://i.ytimg.com/vi/Bn140W6ZRaw/hqdefault.jpg,Piyegi Coca Cola? 🥤😍🔥 #CocaCola2 #Tonykakkar,6,44,,0,0,0.0,Neutral,224,5376.54,7163438,48537,0,166,"CocaCola2,Tonykakkar",2,coca cola,1,Video,48703,0.6799,85,60,Viral
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,aK0suouVNE8,Balloon vs Coca Cola AURA +9999 😱🥤💀 #shorts #khamitovy #martaandrustam,Balloon vs Coca Cola AURA +9999 #comedy #tiktok #viral #funny #balloon #cocacola #vs #coke #aura Don't forget to turn ...,https://www.youtube.com/watch?v=aK0suouVNE8,UCm-Qr3k89gtXcuv2jL29XFw,Marta and Rustam,2025-08-13T13:00:01Z,7205175,35187,0,41,https://i.ytimg.com/vi/aK0suouVNE8/hqdefault.jpg,Balloon vs Coca Cola AURA +9999 😱🥤💀 #shorts #khamitovy #martaandrustam,10,70,Balloon vs Coca Cola AURA +9999 #comedy #tiktok #viral #funny #balloon #cocacola #vs #coke #aura Don't forget to turn ...,20,121,0.0,Neutral,295,7101.05,7205175,35187,0,41,"comedy,funny,balloon,cocacola,tiktok,martaandrustam,aura,shorts,viral,coke,khamitovy,vs",12,"coca cola,coke",2,Short,35228,0.4889,70,60,High
1,Coca Cola YouTube Monitor,youtube,coca cola,2026-06-01 15:20:26.392452,9UaG7UL5yS4,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song Nav Haryanvi ...,https://www.youtube.com/watch?v=9UaG7UL5yS4,UCbYXVxwDEWc9sIt6yZhweqQ,Nav Haryanvi,2020-09-04T11:29:47Z,953758237,3641279,0,52406,https://i.ytimg.com/vi/9UaG7UL5yS4/hqdefault.jpg,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song,19,99,COCO COLA (Official Video) Ruchika Jangid | Kay D | New Haryanvi Songs Haryanavi 2020 | New DJ Song Nav Haryanvi ...,22,116,0.1364,Positive,2099,50398.55,953758237,3641279,0,52406,,0,,0,Video,3693685,0.3873,100,50,Viral
