connector_id,connector_name,platform,keyword,pull_time,video_id,video_title,comment_id,comment_author,comment_text,comment_like_count,comment_published_at,comment_updated_at,comment_url
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,qT9X90sy2PI,"JSW Motors Car Launch | JSW Motors की धमाकेदार एंट्री, Maruti Suzuki, Tata, Mahindra के छूटे पसीने!",UgxLdsHmoJ3KzC92hj94AaABAg,@High_IQ007,Khuch bhi nahi hai JSW ka.China ki company hai Chery.Sab cars waha se utha kar hamare desh mei logo ko chipkayenge.Desh ki auto industry ko aur kamzor karenge direct China ki cars yaha par sell kar ke.,4,2026-06-01T16:22:07Z,2026-06-01T16:22:31Z,https://www.youtube.com/watch?v=qT9X90sy2PI&lc=UgxLdsHmoJ3KzC92hj94AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgyXJwnpE_dRqgDYVSh4AaABAg,@Krishna_chitragar,"Kids who have not driven any of the tata car are commenting down, so be aware of fraudsters spreading hate towards indian brands.",0,2026-06-01T01:03:30Z,2026-06-01T01:03:30Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgyXJwnpE_dRqgDYVSh4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgzE1H542YYAdNQJybp4AaABAg,@poojashreeraghu118,आपने अपनी कर में सोने जैसा कैसे बनाया प्लीज उसका परफेक्ट वीडियो बनाया,0,2026-05-26T03:40:01Z,2026-05-26T03:40:01Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgzE1H542YYAdNQJybp4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgxPCfbxMbhzzfv2uAZ4AaABAg,@giteshpradhan3901,Jai ratan Tata ji,0,2026-05-23T11:53:15Z,2026-05-23T11:53:15Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgxPCfbxMbhzzfv2uAZ4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgyKziYm7n50EluwIF14AaABAg,@mymusic7970,"Bakwaas model 
Both jaldi out dated hoga",1,2026-05-12T21:38:34Z,2026-05-12T21:38:34Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgyKziYm7n50EluwIF14AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgxICSRMlJkmSHvU71l4AaABAg,@sarthakbobade.1,Like this door handl give in tata nexon,1,2026-05-04T18:16:28Z,2026-05-04T18:16:28Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgxICSRMlJkmSHvU71l4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,Ugxs-4zh-GkR-uSyXqZ4AaABAg,@RosemarieMargallo-o6e,Rktkk👍🚙 etj ano ako youtube,0,2026-04-29T02:09:19Z,2026-04-29T02:09:19Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=Ugxs-4zh-GkR-uSyXqZ4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,Ugzg109WDb2gSAZHTQl4AaABAg,@lokpalkushwah7021,"Please place a Safari petrol  varient between Smart and pure x with infotainment, reverse camera, electrically folded and retractable ORVM. But strictly without Sunroof. I want to have Safari but no proper varient as per my choice",0,2026-04-25T07:47:38Z,2026-04-25T07:47:38Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=Ugzg109WDb2gSAZHTQl4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgxgeXYqOHL1saPVLdV4AaABAg,@Radark-p68,Beutiful car 😍 🚗 👌,0,2026-04-11T06:21:02Z,2026-04-11T06:21:02Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgxgeXYqOHL1saPVLdV4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,Ugzz_ZnS6D-JE_Dx00d4AaABAg,@krishnaveni-vl7pe,Tata is the srongest  cars ever founded ever in India🇮🇳,0,2026-04-09T06:23:09Z,2026-04-09T06:23:09Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=Ugzz_ZnS6D-JE_Dx00d4AaABAg
4,Check,youtube,Tata Motors,2026-06-02 13:17:36.914416,OWTOXDKdljU,Tata CURVV | ft. Sunil Kargwal,UgySqMSHUUyLfLY5kah4AaABAg,@krishnaveni-vl7pe,I like ❤ Tata  curvv  e v,0,2026-04-09T06:20:11Z,2026-04-09T06:20:11Z,https://www.youtube.com/watch?v=OWTOXDKdljU&lc=UgySqMSHUUyLfLY5kah4AaABAg
